first_ledger_index,                last_ledger_index,                first_closing_time,                last_closing_time,                num_ledgers,                num_transactions,               Payment tx,               OfferCreate tx,               OfferCancel tx,               TrustSet tx,               AccountSet tx,               accounts_created
178631, 183124, 2013-02-04 00:00:00 +00:00, 2013-02-05 00:00:00 +00:00, 4494, 9, 8, 0, 0, 1, 0, 3
183124, 187678, 2013-02-05 00:00:00 +00:00, 2013-02-06 00:00:00 +00:00, 4555, 15, 7, 2, 1, 5, 0, 3
187678, 191868, 2013-02-06 00:00:00 +00:00, 2013-02-06 23:59:50 +00:00, 4191, 15, 14, 0, 0, 1, 0, 14
191868, 194855, 2013-02-06 23:59:50 +00:00, 2013-02-07 23:59:40 +00:00, 2988, 62, 31, 5, 2, 24, 0, 13
194855, 198409, 2013-02-07 23:59:40 +00:00, 2013-02-09 00:00:00 +00:00, 3555, 79, 43, 9, 5, 22, 0, 20
198409, 201669, 2013-02-09 00:00:00 +00:00, 2013-02-09 23:59:50 +00:00, 3261, 94, 46, 9, 1, 38, 0, 20
201669, 205993, 2013-02-09 23:59:50 +00:00, 2013-02-10 23:59:50 +00:00, 4325, 291, 43, 93, 73, 82, 0, 21
205993, 210811, 2013-02-10 23:59:50 +00:00, 2013-02-12 00:00:00 +00:00, 4819, 311, 106, 73, 30, 102, 0, 15
210811, 215440, 2013-02-12 00:00:00 +00:00, 2013-02-13 00:00:00 +00:00, 4630, 448, 102, 142, 96, 103, 5, 22
215440, 219944, 2013-02-13 00:00:00 +00:00, 2013-02-14 00:00:00 +00:00, 4505, 222, 25, 92, 80, 25, 0, 5
219944, 224644, 2013-02-14 00:00:00 +00:00, 2013-02-14 23:59:50 +00:00, 4701, 672, 23, 322, 307, 20, 0, 10
224644, 229321, 2013-02-14 23:59:50 +00:00, 2013-02-16 00:00:00 +00:00, 4678, 311, 92, 92, 73, 51, 3, 10
229321, 234218, 2013-02-16 00:00:00 +00:00, 2013-02-17 00:00:00 +00:00, 4898, 256, 57, 78, 42, 79, 0, 6
234218, 239004, 2013-02-17 00:00:00 +00:00, 2013-02-17 23:59:50 +00:00, 4787, 287, 10, 147, 116, 14, 0, 3
239004, 243542, 2013-02-17 23:59:50 +00:00, 2013-02-19 00:00:00 +00:00, 4539, 83, 36, 18, 15, 11, 3, 3
243542, 248839, 2013-02-19 00:00:00 +00:00, 2013-02-20 00:00:00 +00:00, 5298, 256, 43, 101, 97, 15, 0, 6
248839, 253695, 2013-02-20 00:00:00 +00:00, 2013-02-21 00:00:00 +00:00, 4857, 211, 126, 32, 24, 26, 3, 21
253695, 258580, 2013-02-21 00:00:00 +00:00, 2013-02-21 23:59:50 +00:00, 4886, 926, 425, 252, 147, 101, 1, 234
258580, 263720, 2013-02-21 23:59:50 +00:00, 2013-02-22 23:59:50 +00:00, 5141, 1262, 93, 507, 443, 219, 0, 16
263720, 268755, 2013-02-22 23:59:50 +00:00, 2013-02-24 00:00:00 +00:00, 5036, 1736, 489, 571, 499, 177, 0, 225
268755, 273907, 2013-02-24 00:00:00 +00:00, 2013-02-25 00:00:00 +00:00, 5153, 695, 168, 230, 178, 119, 0, 10
273907, 278467, 2013-02-25 00:00:00 +00:00, 2013-02-25 23:59:50 +00:00, 4561, 590, 227, 167, 126, 70, 0, 165
278467, 283010, 2013-02-25 23:59:50 +00:00, 2013-02-26 23:59:50 +00:00, 4544, 808, 219, 280, 218, 91, 0, 118
283010, 287743, 2013-02-26 23:59:50 +00:00, 2013-02-28 00:00:00 +00:00, 4734, 1272, 440, 446, 282, 102, 2, 209
287743, 292535, 2013-02-28 00:00:00 +00:00, 2013-02-28 23:59:50 +00:00, 4793, 2140, 244, 972, 844, 80, 0, 82
292535, 297086, 2013-02-28 23:59:50 +00:00, 2013-03-01 23:59:50 +00:00, 4552, 814, 226, 315, 157, 116, 0, 94
297086, 301659, 2013-03-01 23:59:50 +00:00, 2013-03-02 23:59:50 +00:00, 4574, 1203, 164, 536, 359, 144, 0, 15
